Loan Term,Loan Amount,Loan Provider,Loan Product,Average APR,Source,Date Extracted
12, 5000, Starling Bank, Personal Loan, 11.5, Moneyfacts, 2020-07-02 22:43:00
12, 5000, Bank Of Scotland, Existing Customer Personal Loan, 11.7, Moneyfacts, 2020-07-02 22:43:00
12, 5000, Lloyds Bank, Existing Customer Personal Loan, 15.4, Moneyfacts, 2020-07-02 22:43:00
12, 5000, Lending Works, Personal Loan, 20.8, Moneyfacts, 2020-07-02 22:43:00
12, 5000, My Community Bank, Personal Loan, 25.9, Moneyfacts, 2020-07-02 22:43:00
12, 5000, 118 118 Money, Personal Loan (Fair), 35.9, Moneyfacts, 2020-07-02 22:43:00
12, 5000, TRUSTTWO, Trusttwo (Homeowner Guarantor) Personal Loan, 49.5, Moneyfacts, 2020-07-02 22:43:00
12, 5000, BAMBOO, Guarantor Loan, 49.7, Moneyfacts, 2020-07-02 22:43:00
12, 5000, BAMBOO, Personal Loan, 49.7, Moneyfacts, 2020-07-02 22:43:00
12, 5000, TRUSTTWO, Trusttwo (Tenant/LWP Guarantor) Personal Loan, 49.7, Moneyfacts, 2020-07-02 22:43:00
12, 5000, AMIGO, Guarantor Personal Loan, 49.9, Moneyfacts, 2020-07-02 22:43:00
12, 5000, Likely Loans, Personal Loan, 59.9, Moneyfacts, 2020-07-02 22:43:00
12, 5000, 118 118 Money, Personal Loan (Poor), 99.9, Moneyfacts, 2020-07-02 22:43:00
12, 6000, AA, Member Loan, 4.1, Moneyfacts, 2020-07-02 22:43:02
12, 6000, AA, Non-Member Loan, 4.2, Moneyfacts, 2020-07-02 22:43:02
12, 6000, 1plus1 Loans, Guarantor Loan, 47.8, Moneyfacts, 2020-07-02 22:43:02
12, 6000, Tesco Bank, Online Personal Loan, 3.4, Moneyfacts, 2020-07-02 22:43:02
12, 6000, Tesco Bank, Telephone Personal Loan, 3.4, Moneyfacts, 2020-07-02 22:43:02
12, 6000, Mbna Limited, Personal Loan, 3.5, Moneyfacts, 2020-07-02 22:43:02
12, 6000, John Lewis Financial Services, Personal Loan, 3.6, Moneyfacts, 2020-07-02 22:43:02
12, 6000, CAHOOT, Online Personal Loan, 3.8, Moneyfacts, 2020-07-02 22:43:02
12, 6000, Clydesdale Bank, Personal Loan, 3.9, Moneyfacts, 2020-07-02 22:43:02
12, 6000, Yorkshire Bank, Personal Loan, 3.9, Moneyfacts, 2020-07-02 22:43:02
12, 6000, Post Office Money®, Personal Loan, 4.2, Moneyfacts, 2020-07-02 22:43:02
12, 6000, M\u0026s Bank, Existing Customer Personal Loan, 4.4, Moneyfacts, 2020-07-02 22:43:02
12, 6000, M\u0026s Bank, Personal Loan, 4.4, Moneyfacts, 2020-07-02 22:43:02
12, 6000, Bank Of Ireland Uk, Online Personal Loan, 4.5, Moneyfacts, 2020-07-02 22:43:02
12, 6000, SANTANDER, 123 and Select Customers Personal Loan, 4.5, Moneyfacts, 2020-07-02 22:43:02
12, 6000, SANTANDER, Existing Customer Personal Loan , 4.5, Moneyfacts, 2020-07-02 22:43:02
12, 6000, SANTANDER, Personal Loan , 4.5, Moneyfacts, 2020-07-02 22:43:02
12, 6000, First Direct, Personal Loan, 4.9, Moneyfacts, 2020-07-02 22:43:02
12, 6000, Danske Bank, Existing Choice - Prestige or Freedom C/Acc Customers, 5.0, Moneyfacts, 2020-07-02 22:43:02
12, 6000, Danske Bank, Home Owners Personal Loan, 5.0, Moneyfacts, 2020-07-02 22:43:02
12, 6000, Danske Bank, Personal Loan, 5.5, Moneyfacts, 2020-07-02 22:43:02
12, 6000, AIB, Personal Loan, 5.6, Moneyfacts, 2020-07-02 22:43:02
12, 6000, HSBC, Existing Customer Personal Loan, 6.1, Moneyfacts, 2020-07-02 22:43:02
12, 6000, HSBC, Personal Loan, 6.1, Moneyfacts, 2020-07-02 22:43:02
12, 6000, HSBC, Premier Customer Personal Loan, 6.1, Moneyfacts, 2020-07-02 22:43:02
12, 6000, Sainsbury\u0027s Bank, Standard Nectar Cardholder Loan, 6.9, Moneyfacts, 2020-07-02 22:43:02
12, 6000, Madiston Lendloaninvest, Unsecured Personal Loan, 7.8, Moneyfacts, 2020-07-02 22:43:02
12, 6000, Metro Bank, Personal Loan, 7.9, Moneyfacts, 2020-07-02 22:43:02
12, 6000, ZOPA, Personal Loan, 8.7, Moneyfacts, 2020-07-02 22:43:02
12, 6000, RATESETTER, Personal Loan, 8.9, Moneyfacts, 2020-07-02 22:43:02
12, 6000, HALIFAX, Existing Customer Personal Loan, 9.9, Moneyfacts, 2020-07-02 22:43:02
12, 6000, HALIFAX, Personal Loan, 9.9, Moneyfacts, 2020-07-02 22:43:02
12, 6000, TSB, Existing Current Account Customer Personal Loan, 9.9, Moneyfacts, 2020-07-02 22:43:02
12, 6000, TSB, Personal Loan, 9.9, Moneyfacts, 2020-07-02 22:43:02
12, 6000, Bank Of Scotland, Existing Customer Personal Loan, 11.7, Moneyfacts, 2020-07-02 22:43:02
12, 6000, Lloyds Bank, Existing Customer Personal Loan, 15.4, Moneyfacts, 2020-07-02 22:43:02
12, 6000, Lending Works, Personal Loan, 19.4, Moneyfacts, 2020-07-02 22:43:02
12, 6000, My Community Bank, Personal Loan, 25.9, Moneyfacts, 2020-07-02 22:43:02
12, 6000, TRUSTTWO, Trusttwo (Homeowner Guarantor) Personal Loan, 49.5, Moneyfacts, 2020-07-02 22:43:02
12, 6000, BAMBOO, Guarantor Loan, 49.7, Moneyfacts, 2020-07-02 22:43:02
